不可重复,日语原文,中文翻译,使用声音文件,声音开始时间,声音结束时间
203,彼は寿司を一口で食べた。,他吃寿司一口一个。,res://assets/sounds/Chapter2_Section3.mp3,41.45,45.18
204,彼女は納豆を一口食べて、二度と食べなかった。,她尝了一点纳豆，之后就再没吃过一口。,res://assets/sounds/Chapter2_Section3.mp3,45.18,51.18
205,りんごを一口かじってみたが、固くて食べられなかった。,我咬了一口苹果，太硬了吃不了。,res://assets/sounds/Chapter2_Section3.mp3,53.2,58.99
206,この肉は、ひとたび食べたら、また食べたくなる味だ。,这个肉的味道是那种吃一次以后还想吃的。,res://assets/sounds/Chapter2_Section3.mp3,61.15,66.73
207,こんなにうまいラーメンは食べたことがない。,这么好吃的拉面，我从来没吃过。,res://assets/sounds/Chapter2_Section3.mp3,68.91,72.96
208,スピーチがうまい人が、うらやましい。,那种说得很精彩的人真是让人羡慕。,res://assets/sounds/Chapter2_Section3.mp3,72.96,76.73
209,彼女はお酒が、かなりいける。,她很能喝。,res://assets/sounds/Chapter2_Section3.mp3,78.93,82.89
210,彼はスポーツなら、何でもいける。,他只要是运动什么都擅长。,res://assets/sounds/Chapter2_Section3.mp3,82.89,87.05
211,お茶は渋い方が好きだ。,茶我比较喜欢涩口的。,res://assets/sounds/Chapter2_Section3.mp3,89.08,92.27
212,まだ30代なのに、彼の趣味はとても渋い。,虽然只有30几岁，但他的爱好很素雅。,res://assets/sounds/Chapter2_Section3.mp3,92.27,97.53
213,この料理はおいしいが、ちょっとくどい味だ。,这个菜味道不错，但是太浓重了。,res://assets/sounds/Chapter2_Section3.mp3,99.84,104.45
214,また同じ話をしている。本当にくどい人だ。,又重复一样的话，真是个罗嗦的人。,res://assets/sounds/Chapter2_Section3.mp3,104.45,110.14
215,昼ご飯はファミレスで食べた。,今天的午饭是在家庭餐厅吃的。,res://assets/sounds/Chapter2_Section3.mp3,112.41,115.93
216,彼にフランス料理のフルコースを、ごちそうしてもらった。,他请我吃了法式全餐。,res://assets/sounds/Chapter2_Section3.mp3,118.46,123.73
217,オーダーをうかがって、よろしいでしょうか。,请问可以点单了吗？,res://assets/sounds/Chapter2_Section3.mp3,126.05,130.12
218,料理がなかなか来ないので、催促した。,菜点了都不上，刚才催过了。,res://assets/sounds/Chapter2_Section3.mp3,132.39,136.91
219,カードで会計を済ませた。,刷卡结账了。,res://assets/sounds/Chapter2_Section3.mp3,139.41,142.78
220,お昼はバイキングで、食べ過ぎてしまった。,中午吃了自助餐，吃撑了。,res://assets/sounds/Chapter2_Section3.mp3,145.14,149.51
221,ビュッフェでトレイの上に食べたいものを載せた。,自助餐时把想吃的东西放在托盘上。,res://assets/sounds/Chapter2_Section3.mp3,151.73,156.97
222,美しい器で食べる料理は本当においしい。,用漂亮的器皿盛的料理真的很好吃。,res://assets/sounds/Chapter2_Section3.mp3,159.2,164.52
223,回転寿司では、重ねた皿を数えて代金を払う。,在回转寿司店里，是数堆叠的盘子来结账的。,res://assets/sounds/Chapter2_Section3.mp3,166.94,173.11
224,わがままだった弟が、年を重ねて立派な人になった。,任性的弟弟随着年龄的增长变成了个了不起的人。,res://assets/sounds/Chapter2_Section3.mp3,173.11,179.63
225,パーティーの会場にずらりとごちそうが並んだ。,宴会场地摆满了美食。,res://assets/sounds/Chapter2_Section3.mp3,183.01,187.99
226,日本人の主食は米だ。,日本人的主食是大米。,res://assets/sounds/Chapter2_Section3.mp3,190.31,193.99
227,この魚は新鮮なので、生で食べられる。,这条鱼很新鲜，可以生吃。,res://assets/sounds/Chapter2_Section3.mp3,196.02,200.66
228,夏は生物が腐りやすいので、注意する。,夏天生鲜食品容易腐坏，要注意。,res://assets/sounds/Chapter2_Section3.mp3,203.02,208.43
229,私の特製ケーキで彼の誕生日を祝う。,用我的特制蛋糕为他庆祝生日。,res://assets/sounds/Chapter2_Section3.mp3,210.79,215.86
230,最近、粗末な食生活が続いている。,最近一直都是简单粗糙的饮食生活。,res://assets/sounds/Chapter2_Section3.mp3,218.15,222.78
231,親を粗末にしてはいけない。,不可以疏忽地对待父母。,res://assets/sounds/Chapter2_Section3.mp3,222.78,226.17
232,重たい物はインターネットで購入する。,重的东西就在网上买。,res://assets/sounds/Chapter2_Section4.mp3,2,6.71
233,スーパーのお買い得商品を毎日チェックしている。,每天都有看超市的特价商品。,res://assets/sounds/Chapter2_Section4.mp3,10.62,16.08
234,あの店には、学生に手頃な値段の物がたくさんある。,那家店有很多学生们买得起的东西。,res://assets/sounds/Chapter2_Section4.mp3,18.53,24.68
235,デパートの食品売り場は夜8時になると、値引きする。,商场的食品柜台到了晚上8点就打折。,res://assets/sounds/Chapter2_Section4.mp3,26.91,32.96
236,近くの八百屋で100円おまけしてくれた。,附近的蔬菜店给我便宜了100日元。,res://assets/sounds/Chapter2_Section4.mp3,35.24,39.64
237,りんごを買ったら、みかんをおまけしてくれた。,买了苹果赠送了橘子。,res://assets/sounds/Chapter2_Section4.mp3,39.64,44.24
238,ネットの写真と違う商品が届いたので、返品した。,到货的东西跟网上照片上的不一样，所以退货了。,res://assets/sounds/Chapter2_Section4.mp3,46.59,52.47
239,商品の代金は返金してもらえたが、手数料を取られた。,商品的贷款是退回来了，但是收了手续费。,res://assets/sounds/Chapter2_Section4.mp3,54.74,60.97
240,二つのスーパーが価格の競争をしている。,两家超市在打价格战。,res://assets/sounds/Chapter2_Section4.mp3,63.07,67.93
241,ネットでは高価な物は買わないことにしている。,我尽量不在网上买高价商品。,res://assets/sounds/Chapter2_Section4.mp3,70.09,75.25
242,この店では買った金額によって、くじ引きができる。,这家店根据消费金额可以抽奖。,res://assets/sounds/Chapter2_Section4.mp3,77.72,83.48
243,この絵は20年後には価値が上がるだろう。,这幅画20年后一定会升值。,res://assets/sounds/Chapter2_Section4.mp3,85.52,90.76
244,品質のいい物を買うようにしている。,我尽量买品质好的东西。,res://assets/sounds/Chapter2_Section4.mp3,92.98,97.04
245,この価格には消費税が入っていますか。,这个价格里含消费税了吗？,res://assets/sounds/Chapter2_Section4.mp3,99.57,104.29
246,ネットオークションでバッグを買ってみた。,通过网上拍卖试着买了一个包。,res://assets/sounds/Chapter2_Section4.mp3,106.69,111.07
247,最近は、地方の名物がネットで買える。,最近地方名产在网上也能买得到。,res://assets/sounds/Chapter2_Section4.mp3,113.22,118.4
248,一年に数回、北海道のお菓子を取り寄せている。,每年都订购好几次北海道的点心。,res://assets/sounds/Chapter2_Section4.mp3,120.86,126.94
249,あの店では食品は扱っていない。,那个店里不卖食品。,res://assets/sounds/Chapter2_Section4.mp3,129.31,133.73
250,子どもでも、一人の人間として扱うべきだ。,即使是孩子也应该当他是一个人来对待。,res://assets/sounds/Chapter2_Section4.mp3,133.73,138.75
251,そろそろ車を買い換えようと考えている。,我在考虑差不多该换辆车子。,res://assets/sounds/Chapter2_Section4.mp3,141.14,145.72
252,A社から新しい車が売り出された。,A公司开始销售新车了。,res://assets/sounds/Chapter2_Section4.mp3,148.14,152.78
253,デパートのチラシでバーゲンを知った。,看了百货店的传单知道现在在大减价。,res://assets/sounds/Chapter2_Section4.mp3,155.02,159.27
254,支払いのときに、この券を切り取って出すと安くなる。,付款时剪下这个券再用的话能便宜点。,res://assets/sounds/Chapter2_Section4.mp3,161.54,167.15
255,いちごを２パック買った。,买了两盒草莓。,res://assets/sounds/Chapter2_Section4.mp3,169.25,172.35
256,お風呂の後、パックしてから寝る。,洗了澡以后，敷个面膜再睡。,res://assets/sounds/Chapter2_Section4.mp3,172.35,176.31
257,家で使う物は包装を簡単にしてもらう。,自己家用的东西就简单包装。,res://assets/sounds/Chapter2_Section4.mp3,178.77,184.07
258,デパートで試食してから、お菓子を買った。,在商场试吃之后买了点心。,res://assets/sounds/Chapter2_Section4.mp3,186.21,190.68
259,スカートは試着して買わないと心配だ。,裙子的话不试穿不放心买。,res://assets/sounds/Chapter2_Section4.mp3,192.7,197.52
260,いい物がわりあい安く買えた。,买了比较便宜的好东西。,res://assets/sounds/Chapter2_Section4.mp3,201.52,205.83
261,同じ本をダブって買ってしまった。,同一本书买重了。,res://assets/sounds/Chapter2_Section4.mp3,207.86,211.93
262,無駄づかいはよしなさい。,不要乱花钱。,res://assets/sounds/Chapter2_Section4.mp3,214.02,217.2
263,あの店は広くないが、わりと商品が充実している。,那家店虽然不大，但相比之下商品却很丰富。,res://assets/sounds/Chapter2_Section4.mp3,219.56,225.96
264,届いた商品の実物が写真と全く違う。,到货的商品和照片上的完全两样。,res://assets/sounds/Chapter2_Section4.mp3,228.15,233.5
265,粒が大きい真珠は値段が高い。,粒头大的珍珠价格很高。,res://assets/sounds/Chapter2_Section4.mp3,235.47,240.11
266,ここは障がい者が駐車するスペースです。,这里是残疾人停车的区域。,res://assets/sounds/Chapter2_Section4.mp3,242.3,246.83
267,実家を出て、現在は一人暮らしです。,我离开了老家，现在一个人生活。,res://assets/sounds/Chapter2_Section5.mp3,1.87,6.46
268,過去は忘れて、未来に向かって進もう。,忘记过去向着未来前进。,res://assets/sounds/Chapter2_Section5.mp3,8.5,13.34
269,長い年月をかけて、この木はこんなに成長した。,经过这么多年，这棵树已经长得这么大了。,res://assets/sounds/Chapter2_Section5.mp3,15.6,21.13
270,月日が経つのは本当に早いものだ。,时间过得好快啊。,res://assets/sounds/Chapter2_Section5.mp3,23.36,27.81
271,忘年会の日時はメールでお知らせします。,忘年会的日期会用邮件通知。,res://assets/sounds/Chapter2_Section5.mp3,29.93,34.92
272,今日の世界には多くの問題がある。,如今世界上有很多问题。,res://assets/sounds/Chapter2_Section5.mp3,37.14,41.91
273,これは 1980 年代に流行したファッションだ。,这是1980年代流行的时尚。,res://assets/sounds/Chapter2_Section5.mp3,44.22,49.89
274,彼女と私では年代が全く違う。,她和我完全不是一个年代的。,res://assets/sounds/Chapter2_Section5.mp3,49.89,54.79
275,年間の訪日観光客が急に増えた。,年間訪日観光客突然激増。,res://assets/sounds/Chapter2_Section5.mp3,57.02,61.85
276,この店は年中無休だ。,这家店全年无休。,res://assets/sounds/Chapter2_Section5.mp3,64.08,67.67
277,父は年中ゴルフばかりしている。,父亲一整年先在打高尔夫。,res://assets/sounds/Chapter2_Section5.mp3,67.67,71.9
278,本年もよろしくお願いします。,今年也请多多关照。,res://assets/sounds/Chapter2_Section5.mp3,74.15,77.68
279,日中は天気がよく、暖かかった。,白天天气很好，也很暖和。,res://assets/sounds/Chapter2_Section5.mp3,79.92,84.42
280,この辺りで夜間の一人歩きは危険だ。,这附近夜晚一个人走很危险。,res://assets/sounds/Chapter2_Section5.mp3,86.61,91.44
281,田中はただ今席を外しております。,田中現在不在座位上。,res://assets/sounds/Chapter2_Section5.mp3,93.64,98.2
282,先ほどアメリカ出張から戻りました。,我刚从美国出发回来。,res://assets/sounds/Chapter2_Section5.mp3,100.45,105.4
283,近々そちらにお邪魔したいと思います。,近期我想去拜访您一下。,res://assets/sounds/Chapter2_Section5.mp3,107.67,112.08
284,詳しいことは後日決めましょう。,详情日后再决定。,res://assets/sounds/Chapter2_Section5.mp3,114.24,118.13
285,今は小雨だが、やがて雨も風も強くなるだろう。,现在虽然是小雨，但不久后雨和风就会大起来吧。,res://assets/sounds/Chapter2_Section5.mp3,120.36,126.84
286,いずれ子ども達も自立して、家を出ていく。,孩子们终究也要独立离开家。,res://assets/sounds/Chapter2_Section5.mp3,128.86,134.09
287,今後の連絡は、新しいアドレスにお願いします。,今后请联系我的新地址。,res://assets/sounds/Chapter2_Section5.mp3,136.3,141.67
288,日本に来たとき、すでに桜の季節は終わっていた。,来日本的时候，樱花季节已经结束了。,res://assets/sounds/Chapter2_Section5.mp3,143.98,150.01
289,会議の予定をあらかじめ教えてください。,会议的计划请事先告知。,res://assets/sounds/Chapter2_Section5.mp3,152.56,156.96
290,従来のやり方を、そろそろ変えた方がいい。,以往的做法还是改变一下为好。,res://assets/sounds/Chapter2_Section5.mp3,159.2,164.23
291,大雪が降った。あくる朝、外は真っ白だった。,下了一场大雪，第二天早上外面一片雪白。,res://assets/sounds/Chapter2_Section5.mp3,166.39,172.85
292,事故で一時、電車が止まった。,因事故电车停了一段时间。,res://assets/sounds/Chapter2_Section5.mp3,175.01,179.4
293,一生のお願いです。私の話を聞いてください。,这是我终身的愿望，请听我说。,res://assets/sounds/Chapter2_Section5.mp3,181.59,187.2
294,この感謝の気持ちは一生忘れません。,此时的感激之情终身难忘。,res://assets/sounds/Chapter2_Section5.mp3,187.2,191.92
295,この愛は永遠に続く。,吾爱永存。,res://assets/sounds/Chapter2_Section5.mp3,194.27,198.25
296,最近、夜明け頃に一度目が覚める。,最近黎明时会醒一下。,res://assets/sounds/Chapter3_Section1.mp3,1.98,6.71
297,毎朝、6時に起床している。,每天 6 点起床。,res://assets/sounds/Chapter3_Section1.mp3,9.06,12.96
298,壁にもたれて、歯をみがく。,靠着墙刷牙。,res://assets/sounds/Chapter3_Section1.mp3,15.18,18.49
299,この料理は胃にもたれる。,这个菜不消化。,res://assets/sounds/Chapter3_Section1.mp3,18.49,21.79
300,毎朝、フレッシュな野菜ジュースを作って飲んでいる。,每天早上做新鲜的蔬菜汁喝。,res://assets/sounds/Chapter3_Section1.mp3,23.99,29.28
301,朝ご飯は乳製品とサラダだ。,早饭是乳制品和色拉。,res://assets/sounds/Chapter3_Section1.mp3,31.96,36.27
302,食事が終わったら、洗い物をする。,吃了饭以后洗东西。,res://assets/sounds/Chapter3_Section1.mp3,38.54,42.43
303,毎朝欠かさず、ジョギングをする。,每天早上不停歇地跑步。,res://assets/sounds/Chapter3_Section1.mp3,44.76,48.71
304,朝、新聞配達のバイトをしている。,早上兼职配送报纸。,res://assets/sounds/Chapter3_Section1.mp3,51.16,55.71
305,ネットニュースの見出しをざっと見る。,大致扫一下网上新闻的索引。,res://assets/sounds/Chapter3_Section1.mp3,58.23,62.08
306,私は新聞を一切読まない。,我完全不看报纸。,res://assets/sounds/Chapter3_Section1.mp3,64.3,68.41
307,洗濯の合間にネットでニュースを読む。,洗衣服的间隙在网上看新闻。,res://assets/sounds/Chapter3_Section1.mp3,70.8,75.7
308,家事をてきぱきと片付け、出かける準備をする。,利落地收拾了家务后准备出发。,res://assets/sounds/Chapter3_Section1.mp3,79.83,85.36
309,出かけるまでに少し間がある。,离出发还有点时间。,res://assets/sounds/Chapter3_Section1.mp3,87.25,91.35
310,毎日、公園の周辺を 30 分歩く。,在公园周辺走 30 分钟。,res://assets/sounds/Chapter3_Section1.mp3,93.49,99.09
311,朝ご飯の前に、家の周囲を犬と散歩する。,早饭前在家周围带着小狗散步。,res://assets/sounds/Chapter3_Section1.mp3,101.31,107.24
312,あと5分でパスが来る。急がなきゃ。,再有5分钟公共汽车就要来了，我们要赶紧。,res://assets/sounds/Chapter3_Section1.mp3,109.15,114.14
313,ごみを出しに行くと、いつも隣の人とすれ違う。,出去丢垃圾时，总是会和邻居擦肩而过。,res://assets/sounds/Chapter3_Section1.mp3,116.44,122.23
314,コンタクトを落として、床の上をはって探した。,隐形眼镜掉在地上了，趴在地上找。,res://assets/sounds/Chapter3_Section1.mp3,124.26,129.66
315,出かける前にバッグを替えた。,出发前换了包。,res://assets/sounds/Chapter3_Section1.mp3,131.83,135.88
316,服装を整えて、出かける。,整整衣服出门。,res://assets/sounds/Chapter3_Section1.mp3,138.2,141.66
317,この病院は最新の設備を整えている。,这家医院正在备齐新设备。,res://assets/sounds/Chapter3_Section1.mp3,141.66,146.55
318,この頃ろくに寝ていないので、午前中は眠い。,因为这段时间不能很好地睡觉，所以上午一直很困。,res://assets/sounds/Chapter3_Section1.mp3,148.89,154.27
319,日課を決めて、生活にめりはりをつけている。,每天必须做的事情决定好，把握好生活的张弛。,res://assets/sounds/Chapter3_Section2.mp3,2.08,7.38
320,一日に何度も歯をみがく。,一天刷好几次牙。,res://assets/sounds/Chapter3_Section2.mp3,9.57,13.82
321,ほぼ毎日、彼に SNS でメッセージを送る。,基本上每天都给他发消息。,res://assets/sounds/Chapter3_Section2.mp3,75.9,21.5
322,帰る途中でスーパーに寄り道する。,回家的途中，顺道去超市。,res://assets/sounds/Chapter3_Section2.mp3,23.74,28.23
323,食物アレルギーの表示を見ながら買い物をする。,边看食物过敏的提示边买东西。,res://assets/sounds/Chapter3_Section2.mp3,30.56,35.85
324,家に帰ったら、まず窓を開けて換気する。,回到家先打开窗户通风。,res://assets/sounds/Chapter3_Section2.mp3,38.06,43.65
325,いったん家に帰ってから、食事に出かける。,"暂且先回家,再出去吃饭。",res://assets/sounds/Chapter3_Section2.mp3,45.74,50.74
326,洗濯物を物干しから外して、中にしまう。,把晒洗的衣服从晒台拿进来。,res://assets/sounds/Chapter3_Section2.mp3,52.82,58.63
327,ご飯を食べる前に、食卓をきれいにふく。,吃饭前把桌子擦干净。,res://assets/sounds/Chapter3_Section2.mp3,60.9,66.21
328,食事を後回しにして、宿題を片付ける。,过一会儿再吃饭，先做作业。,res://assets/sounds/Chapter3_Section2.mp3,68.49,73.44
329,寝る時間を削って、受験勉強をしている。,減少睡眠时间，备考中。,res://assets/sounds/Chapter3_Section2.mp3,75.65,80.28
330,弟は鉛筆が上手に削れない。,弟弟不擅长削铅笔。,res://assets/sounds/Chapter3_Section2.mp3,80.28,85.47
331,夢をかなえるために、毎日一生懸命勉強している。,为了实现梦想，每天拼命努力学习。,res://assets/sounds/Chapter3_Section2.mp3,87.09,93.61
332,エアコンの温度を調節する。,调节空调的温度。,res://assets/sounds/Chapter3_Section2.mp3,95.89,99.25
333,家に帰ったら、ゆったりした気分で過ごす。,回家后，悠闲地生活。,res://assets/sounds/Chapter3_Section2.mp3,103.25,108.05
334,このパジャマはゆったりしている。,这件睡衣很宽松。,res://assets/sounds/Chapter3_Section2.mp3,108.05,111.7
335,毎日ネットのオークションで売り買いしている。,每天在网络拍卖上做买卖。,res://assets/sounds/Chapter3_Section2.mp3,113.98,118.46
336,その日の出来事を思い浮かべて、日記を書く。,忆起那天的事，写成日记。,res://assets/sounds/Chapter3_Section2.mp3,121.43,126.99
337,テレビを見ながら、つい独り言を言ってしまう。,看着电视总是不禁自言自语。,res://assets/sounds/Chapter3_Section2.mp3,129.38,134.72
338,每晚、風呂場で歌を歌っている。,每天晚上在浴室里唱歌。,res://assets/sounds/Chapter3_Section2.mp3,136.9,141.48
339,ハーブの匂いをかいで、リラックスする。,闻着草木的芳香放松一下。,res://assets/sounds/Chapter3_Section2.mp3,143.66,148.06
340,寝つきが悪いので、寝るときに薬を飲む。,睡眠不好，睡觉的时候总是吃药。,res://assets/sounds/Chapter3_Section2.mp3,150.11,155.48
341,一人暮らしなので、いつも用心している。,因为是一个人住，所以总是警惕着。,res://assets/sounds/Chapter3_Section2.mp3,157.78,162.64
342,寝る前に、国の家族からメッセージが届いた。,睡前在国内的家人发来了消息。,res://assets/sounds/Chapter3_Section2.mp3,164.95,170.64
343,家事の中で炊事が一番好きだ。,家务事里我最喜欢做饭。,res://assets/sounds/Chapter3_Section3.mp3,1.83,6.24
344,毎日献立を考えるのは大変だ。,每天考虑食谱很麻烦。,res://assets/sounds/Chapter3_Section3.mp3,8.29,13.06
345,家族のリクエストで、メニューを決める。,根据家人的要求决定吃什么。,res://assets/sounds/Chapter3_Section3.mp3,15.25,19.69
346,流しで野菜を洗う。,在洗碗池里洗菜。,res://assets/sounds/Chapter3_Section3.mp3,21.86,24.89
347,キャベツをちぎって、鍋に入れる。,把卷心菜撕碎了放进锅里。,res://assets/sounds/Chapter3_Section3.mp3,26.95,31.01
348,材料を冷ましてから、野菜で包む。,冷却食材后用蔬菜包起来。,res://assets/sounds/Chapter3_Section3.mp3,33.31,37.73
349,魚が煮えて、いい匂いがする。,鱼煮熟了阵阵飘香。,res://assets/sounds/Chapter3_Section3.mp3,40.12,44.29
350,我が家の味付けは、ちょっと薄い。,我家调味比较清淡。,res://assets/sounds/Chapter3_Section3.mp3,46.57,50.77
351,味が少し濃いので、水で薄めた。,味道太浓了，加水弄淡一点。,res://assets/sounds/Chapter3_Section3.mp3,53.01,57.71
352,ケーキをよく作るが、甘みは控えている。,我经常做蛋糕，不过一直控制甜度。,res://assets/sounds/Chapter3_Section3.mp3,59.81,64.65
353,安い材料でも、工夫すれば、おいしくなる。,即使是便宜的食材，只要下工夫就会好吃。,res://assets/sounds/Chapter3_Section3.mp3,66.75,71.95
354,ハンバーグに、にんじんを添える。,在汉堡肉里添加萝卜。,res://assets/sounds/Chapter3_Section3.mp3,73.98,77.81
355,パンに、いろいろな材料を挟む。,在面包里夹入各种材料。,res://assets/sounds/Chapter3_Section3.mp3,79.84,83.76
356,この料理は調味料の加減が、ちょうどいい。,这个菜调味调得刚刚好。,res://assets/sounds/Chapter3_Section3.mp3,85.99,90.8
357,冷蔵庫に入れておいたゼリーが固まった。,放在冰箱里果冻凝固起来了。,res://assets/sounds/Chapter3_Section3.mp3,92.96,97.79
358,ソースを作りながら、少しなめて、味を確かめる。,一边做酱一边舔舔试味道。,res://assets/sounds/Chapter3_Section3.mp3,99.79,105.54
359,魚が焦げて、台所が臭い。,鱼烤焦了，厨房一股味道。,res://assets/sounds/Chapter3_Section3.mp3,107.33,111.62
360,スープが冷めたので、食事の前に温めた。,汤凉了，吃饭前再热一下。,res://assets/sounds/Chapter3_Section3.mp3,113.63,118.71
361,少し余分にカレーを作って、冷凍しておく。,咖喱多做了一点，冷冻起来。,res://assets/sounds/Chapter3_Section3.mp3,120.95,126.11
362,この容器は料理を冷凍するのに便利だ。,用这个容器冷冻料理方便。,res://assets/sounds/Chapter3_Section3.mp3,128.23,133.16
363,この缶詰は賞味期限が切れている。,这个罐头过保质期了。,res://assets/sounds/Chapter3_Section3.mp3,135.74,140.43
364,姉の手作りケーキはプロのような味だ。,姐姐的手工蛋糕味道非常专业。,res://assets/sounds/Chapter3_Section3.mp3,142.64,147.59
365,先日、手料理でお客様をもてなした。,前几天自己做了菜招待客人。,res://assets/sounds/Chapter3_Section3.mp3,149.99,155.15
366,洗濯機のホースが壊れて、水がもれてしまった。,洗衣机的软管坏了，漏水了。,res://assets/sounds/Chapter3_Section4.mp3,1.76,6.94
367,いつの間にか、私の秘密がもれてしまった。,不知不觉我的秘密被泄露出去了。,res://assets/sounds/Chapter3_Section4.mp3,6.94,12.27
368,彼の机の引き出しの中は、いつもごちゃごちゃだ,他书桌的抽屉总是乱七八糟的.,res://assets/sounds/Chapter3_Section4.mp3,16.09,21.37
369,使ったものは元の場所に戻してください。,用过的东西放到原来的地方。,res://assets/sounds/Chapter3_Section4.mp3,23.44,28
370,元は、ここも海だった。,起初这里也是海。,res://assets/sounds/Chapter3_Section4.mp3,28,31.39
371,この掃除機は自動的に部屋をきれいにしてくれる。,这个吸尘器会自动地把房间打扫干净。,res://assets/sounds/Chapter3_Section4.mp3,34.04,39.54
372,人が来たので、洗濯物をさっと隠した。,有人来了，瞬间把要洗的东西藏起来了。,res://assets/sounds/Chapter3_Section4.mp3,41.59,46.66
373,年末の掃除は清掃会社に依頼する。,年底的大扫除委托清扫公司。,res://assets/sounds/Chapter3_Section4.mp3,49.02,53.99
374,掃除機のごみを取り除く。,把吸尘器里的垃圾倒掉。,res://assets/sounds/Chapter3_Section4.mp3,56.49,60.26
375,洗濯の前に服の素材をチェックする。,洗衣服前，看一下面料。,res://assets/sounds/Chapter3_Section4.mp3,62.32,67.17
376,この服には素材の表示がない。,这件衣服上没有标示素材。,res://assets/sounds/Chapter3_Section4.mp3,69.37,73.78
377,表示を見ながら、洗濯物を分類する。,一边看标示一边把衣服分类。,res://assets/sounds/Chapter3_Section4.mp3,75.99,80.89
378,洗濯機で洗濯物をすすぐ。,用洗衣机漂洗衣物。,res://assets/sounds/Chapter3_Section4.mp3,83.13,87.43
379,歯医者に行く前に、口をすすぐ。,去看牙医以前洗漱口。,res://assets/sounds/Chapter3_Section4.mp3,87.43,91.6
380,これはネットに入れて洗った方がいい。,这个放在网兜里洗更好。,res://assets/sounds/Chapter3_Section4.mp3,93.84,98.37
381,このタオルは水分をよく吸収するが、乾きやすい。,这种毛巾能很好地吸收水分，但也很容易干。,res://assets/sounds/Chapter3_Section4.mp3,100.67,106.6
382,靴についた泥が、なかなか落ちない。,鞋子上的泥巴怎么都去不掉。,res://assets/sounds/Chapter3_Section4.mp3,108.7,113.04
383,家事には昔の人の知恵が生きている。,家务活中凝结了很多前人的智慧。,res://assets/sounds/Chapter3_Section4.mp3,115.02,119.85
384,ここでは火曜日と金曜日が可燃ごみの日だ。,这附近星期二和星期五收可燃垃圾。,res://assets/sounds/Chapter3_Section4.mp3,122.2,127.81
385,資源ごみはリサイクルできるごみのことだ。,资源垃圾是可以再回收的垃圾。,res://assets/sounds/Chapter3_Section4.mp3,130.22,134.9
386,粗大ごみを捨てるときは有料だ。,扔粗大垃圾是要收费的。,res://assets/sounds/Chapter3_Section4.mp3,137.36,141.41
387,古新聞が、たくさんたまっている。,积攒了很多旧报纸。,res://assets/sounds/Chapter3_Section4.mp3,144.01,148.06
388,日本は、ごみの分別がとても大変だ。,在日本垃圾分类很麻烦。,res://assets/sounds/Chapter3_Section4.mp3,150.2,154.97
389,スーパーでごみ袋を買う。,在超市买垃圾袋。,res://assets/sounds/Chapter3_Section4.mp3,157.4,160.71
390,台所のごみが生臭い。,厨房的垃圾很臭。,res://assets/sounds/Chapter3_Section4.mp3,163.08,166.52
391,テレビは大小に関係なく、ごみに出せない。,电视机无论大小都不能当垃圾直接扔掉。,res://assets/sounds/Chapter3_Section4.mp3,168.69,173.77
392,この子はまだ指をしゃぶっている。,这个孩子还在吮手指头。,res://assets/sounds/Chapter3_Section4.mp3,176.06,180
393,そろそろおむつを取り替える時間だ。,差不多是该换尿布的时间了。,res://assets/sounds/Chapter3_Section4.mp3,182.13,186.35
394,双子が生まれると、育児も２倍大変だ。,生了双胞胎，育儿也加倍辛苦。,res://assets/sounds/Chapter3_Section4.mp3,188.58,193.31
395,暑くなってきたので、夏の衣類を出そう。,天气变热了，把夏天的衣服拿出来。,res://assets/sounds/Chapter3_Section4.mp3,195.43,200.17
396,年に２回、夏物と冬物を入れ替える。,每年两次更换夏季衣物和冬季衣物。,res://assets/sounds/Chapter3_Section4.mp3,202.47,207.88
397,最近忙しすぎて、気が狂いそうだ。,最近我太忙，简直要发疯了。,res://assets/sounds/Chapter3_Section4.mp3,209.95,214.15
398,時間が足りなくなって、予定が狂った。,时间不够了，计划都打乱了。,res://assets/sounds/Chapter3_Section4.mp3,214.15,218.7
399,壊れたコピー機を処分した。,我处理掉了坏掉的复印机。,res://assets/sounds/Chapter3_Section5.mp3,1.74,5.27
400,学校の規則を破ったので、処分を受けた。,因为违反了学校的规定，我受到了处分。,res://assets/sounds/Chapter3_Section5.mp3,5.27,10.14
401,不用品はリサイクルショップで売ろう。,把不用的东西拿到二手商店去卖吧。,res://assets/sounds/Chapter3_Section5.mp3,12.51,16.57
402,ポスターを壁からきれいにはがす。,把海报从墙上干净地揭下来。,res://assets/sounds/Chapter3_Section5.mp3,18.78,23.05
403,本は束にして、ひもでしばる。,把书捆起来，用绳子绑好。,res://assets/sounds/Chapter3_Section5.mp3,24.81,28.64
404,荷物のひもを、きちんとしばって運ぶ。,把行李用绳子扎好，搬运。,res://assets/sounds/Chapter3_Section5.mp3,30.73,35.7
405,本を段ボールに入れて、トラックに積む。,把书装进纸箱，装上卡车。,res://assets/sounds/Chapter3_Section5.mp3,37.86,42.48
406,段ボールのふたをガムテープで留める。,用胶带封住纸箱的盖子。,res://assets/sounds/Chapter3_Section5.mp3,44.94,49.27
407,段ボールに洋服を押し込んだ。,把衣服塞进了纸板箱里。,res://assets/sounds/Chapter3_Section5.mp3,51.65,55.93
408,引っ越しのときに、することをリストに書く。,搬家的时候，把要做的事情列成了清单。,res://assets/sounds/Chapter3_Section5.mp3,58,62.86
